---SFT---,
MeasureDate:,20250722_163039,
CWFi:,5,
CCWFi:,5,
CWfii:,5,
CCWfii:,4,
CWfl:,6,
CCWfl:,5,
CWfk:,1,
CCWfk:,1,
CWFiValue:,24.1,
CCWFiValue:,18.2,
CWfiiValue:,11.17,
CCWfiiValue:,7.68,
CWflValue:,23.12,
CCWflValue:,18.13,
CWfkValue:,2.83,
CCWfkValue:,2.54,
BacklashMeanValue:,96.52,
BacklashDiffValue:,16.06,
BacklashMaxValue:,102.97,
BacklashMinValue:,86.92,
CWTotalTime:,21.1226349,
CCWTotalTime:,21.1253035,
XAxisLocation:,28.256,
YAxisLocation:,35.258,
ZAxisLocation:,0,
XAxisRelLocation:,23.958,
YAxisRelLocation:,30.96,
ZAxisRelLocation:,0,
JudgeResult:,6,
,CWResultXArray,CWResultYArray,CCWResultXArray,CCWResultYArray,BacklashXArray,BacklashYArray,
SFT:,86.386,-9.424777960769726,86.499,-105.76695267085532,86.386,96.34217471008559,
SFT:,86.945,-9.075712110369187,86.674,-105.76695267086056,86.945,96.69124056049138,
SFT:,87.129,-9.075712110374178,87.245,-106.11601852125592,87.129,97.04030641088174,
SFT:,87.685,-9.075712110369187,87.796,-106.11601852125592,87.685,97.04030641088674,
SFT:,88.248,-9.075712110374178,88.367,-106.81415022205194,88.248,97.73843811167775,
SFT:,88.798,-9.075712110369187,88.914,-106.81415022205194,88.798,97.73843811168275,
SFT:,89.362,-8.028514559172555,89.468,-106.81415022205194,89.362,98.78563566287939,
SFT:,89.916,-8.377580409573095,89.838,-106.81415022205194,89.916,98.43656981247884,
SFT:,90.468,-8.028514559177513,90.395,-106.11601852125592,90.468,98.08750396207842,
SFT:,90.844,-8.377580409573095,90.95,-105.41788682045994,90.844,97.04030641088684,
SFT:,91.405,-9.424777960769726,91.476,-105.41788682045471,91.405,95.99310885968498,
SFT:,91.952,-9.075712110369187,91.692,-105.06882097005443,91.952,95.99310885968525,
SFT:,92.33,-9.773843811165312,92.248,-105.06882097005933,92.33,95.29497715889403,
SFT:,92.891,-10.47197551196636,92.808,-105.06882097005933,92.891,94.59684545809297,
SFT:,93.445,-10.821041362361946,93.173,-104.71975511965873,93.445,93.89871375729678,
SFT:,94,-10.47197551196636,93.725,-104.37068926925811,94,93.89871375729174,
SFT:,94.176,-11.170107212762488,94.277,-104.02162341886275,94.176,92.85151620610026,
SFT:,94.746,-11.170107212762488,94.829,-103.67255756846214,94.746,92.50245035569965,
SFT:,95.296,-11.519173063162995,95.385,-103.3234917180664,95.296,91.80431865490341,
SFT:,95.851,-11.519173063162995,95.942,-103.3234917180615,95.851,91.80431865489851,
SFT:,96.403,-11.519173063162995,96.326,-103.3234917180615,96.403,91.80431865489851,
SFT:,96.964,-11.86823891355858,96.879,-102.97442586766613,96.964,91.10618695410754,
SFT:,97.358,-11.868238913563534,97.424,-102.62536001727041,97.358,90.75712110370688,
SFT:,97.91,-11.519173063162995,97.997,-102.97442586766613,97.91,91.45525280450313,
SFT:,98.493,-11.519173063162995,98.176,-102.97442586766613,98.493,91.45525280450313,
SFT:,98.646,-11.519173063162995,98.731,-102.62536001726552,98.646,91.10618695410253,
SFT:,99.199,-11.519173063162995,99.294,-102.62536001726552,99.199,91.10618695410253,
